房源名称,户型,地址,地址,价格,面积,朝向
老山可乐菜市场附近电梯新装修公寓，家具家电齐全，拎包入住,1室0厅,紫竹苑,剑江大道中段,800,30,南北
老山可乐菜场旁边 旺福大厦 3室2厅1 步梯6楼 带空调,3室2厅,伯爵花园,斗蓬山路12号,800,127,朝东
平桥客运站 四中二幼一小 电梯三室精装修 家电齐全 拎包入住,3室2厅,培育大厦,培育巷1号,1400,130,朝北
173匀山越 全新装修 家电齐全 拎包入住 随时看房,2室2厅,匀山樾,剑江北路120号,1500,75,朝西
大十字 五月花楼上电梯 三室两厅两卫 家电家具齐全 拎包入住,3室2厅,中鑫大厦,工人路6号,1500,140,朝东
大十字 南州国际文华苑 2室2厅1卫 1300元月拎包入住,2室2厅,南州国际文华苑,大龙大道8号,1300,90,朝东
平桥  怡盛园小区 3室2厅2卫 1500元月拎包入住,3室2厅,怡盛园小区,剑江北路16号,1500,138,朝东
大西门 广惠国际 1室2厅1卫 1500元月精装修拎包入住,1室2厅,广惠国际,平桥南路26号,1500,60,朝东
大十字 南州国际马鞍山 3室2厅2卫 1200元月包入住,3室2厅,南州国际文华苑,大龙大道8号,1200,114,朝东
南州国际清华苑 四小门口会所豪装设备齐全 可接手就营业带露台,10室2厅,南州国际清华苑,青云湖大道,25000,400,南北
大十字 七街 三小后门步梯3楼 三室两厅一卫 中医院拎包入住,3室2厅,御庭苑,剑江中路98号,1000,100,朝东
火车站十一小附近 步梯4楼两室一厅一卫 家电家具齐全拎包入住,2室1厅,尚城幸福里,云鹤路,800,80,朝东
老三可乐夜市街三室两厅精装房出租   家电家具齐全,3室2厅,紫竹苑,剑江大道中段,1600,110,朝南
开发区伯爵花园单身公寓装修房出租 家电家具齐全 拎包入住,1室1厅,伯爵花园,斗蓬山路12号,1300,51,朝南
开发区 伯爵花园单身公寓精装房出租 家电家具齐全 拎包入住,1室0厅,伯爵花园,斗蓬山路12号,1500,51,朝南
三线博物馆旁边 东来尚城一室一厅精装房出租 家电家具齐全,1室1厅,东来尚城,东来路,1400,46,朝南
万达广场附近 城市风景  四室一厅一厨一卫   月租1600,4室2厅,城市风景,嘉和路2号,1600,120,南北
大西门中医院 御庭苑 精装修电梯房 两室两厅两卫 拎包入住,2室2厅,御庭苑,剑江中路98号,1600,110,朝东
大十字波斯湾二楼三室，1300月，随时看房,3室1厅,建业大厦,滨路56号,1300,90,南北
彩虹桥 附近 3室1厅1卫 900元月 80平,3室1厅,久达新村,飞燕路14号,900,80,南北
都匀附中旁步梯4楼两室两厅整套出租图片实拍,2室2厅,惠丽佳园,胜利路81号,600,75,南北
万达购物广场 沙坝丽景天成 精装两室 家具家电齐全 拎包入住,2室2厅,丽景天城,汽车商贸城对面,1200,90,朝北
平桥水厂 七小旁边步梯3楼 两室一厅 家电家具齐全 拎包入住,2室1厅,剑北小区,剑江北路,800,80,朝东
大十字临江大厦一室一厅 家具家电齐全,1室1厅,临江大厦,河滨路,1500,50,南北
四一四医院旁虹桥苑三室二厅精装 家具家电齐全,3室2厅,虹桥苑,江北路172号,1000,120,南北
万达旁 滨江一号4室1厅精装修 家具家电齐全,4室1厅,碧桂园滨江一号,西山大道,1500,93,南北
文峰园 尚城壹品精装公寓 一室一厅一卫 家电家具齐全拎包入住,1室1厅,尚城壹品,剑江中路,1400,53,朝东
新都汇 水岸名门 两室一厅 精装修 家电齐全拎包入住,2室1厅,水岸铭门,西山大道,1300,80,朝北
筑匀大厦 女人街 电梯精装两室两厅 家具家电齐全 拎包入住,2室2厅,筑匀大厦,广惠路407号,1500,105,朝北
云宫花城 花园式小区 三室两厅 精装修家电家具齐全拎包入住,3室2厅,云宫花城,云宫路,1300,110,朝北
行政服务大厅 汽车商贸城 精装三室两厅 家具家电齐全拎包入住,3室2厅,黔南汽车商贸城,斗篷山路269号,1200,110,朝北
173新天地 老年公寓精装三室两厅一卫 家具家电齐全拎包入住,3室2厅,老年公寓小区,剑江北路139号,1000,110,朝北
州医院宿舍楼，三室两厅拎包入住,3室2厅,中大逸峰,文峰路1号,1300,120,东南
裤裆街，七楼！三室两厅，拎包入住,3室2厅,海文大厦,新华路2号,900,96,东南
急租 平惠小区 简单装修3室2厅2卫 850月 拎包入住,3室2厅,平惠小区,平桥北路4号,850,91,朝南
华馨湾 9室3厅3卫 9000元月 精装修 400平,9室3厅,华馨湾,伯爵美食街,9000,400,朝东
小十字 女人街筑匀大厦 两室精装 1500 市中心核心圈,2室1厅,筑匀大厦,广惠路407号,1500,104,朝南
沙坝行政中心 步梯四楼 家具家电齐全 带空调 沙坝核心商业圈,3室2厅,黔南汽车商贸城,斗篷山路269号,1200,110,朝南
